Marka,Model,Cena,Rok,Paliwo,Skrzynia,Przebieg,Moc_KM,Pojemnosc_cm3,Miasto,Wojewodztwo
Audi,Q3,48700,2013,Benzyna,Automatyczna,249,170,1984,Wielogóra,Mazowieckie
Audi,A6 Avant 2.0 TFSI,19950,2009,Benzyna,Manualna,170000,170,1984,Łajski,Mazowieckie
Audi,Q3 Sportback 35 TDI S tronic S line,159900,2024,Diesel,Automatyczna,17800,150,1968,Bielsko-Biała,Śląskie
Audi,A5 Coupé,29900,2008,Benzyna,Automatyczna,137500,170,1798,Gryfino,Zachodniopomorskie
Audi,S5 Avant,319700,2024,Benzyna,Automatyczna,2167,367,2995,Łódź,Łódzkie
Audi,Q3 45 TFSI Quattro S-Line S tronic,100000,2023,Benzyna,Automatyczna,26000,245,1984,Toruń,Kujawsko-pomorskie
Audi,A3 Sportback 1.6 TDI Sport,53000,2017,Diesel,Manualna,99500,110,1598,Niwnice,Dolnośląskie
Audi,S3,133999,2022,Benzyna,Automatyczna,81000,310,1984,Bielany Wrocławskie,Dolnośląskie
Audi,Q4 e-tron,195449,2025,Diesel,Manualna,1,204,0,Warszawa,Mazowieckie
Audi,A3 Sportback,52900,2022,Diesel,Manualna,154632,116,1968,Warszawa,Mazowieckie
Audi,A3 Sportback,52900,2022,Diesel,Manualna,153765,116,1968,Warszawa,Mazowieckie
Audi,TT Coupé,11500,2008,Benzyna,Manualna,140000,200,1984,Lębork,Pomorskie
Audi,TT Coupé,24800,2007,Benzyna,Manualna,198000,200,1984,Łuków,Lubelskie
Audi,Q3 45 TFSI e S Line S tronic,125952,2022,Hybryda Plug-in,Automatyczna,115670,245,1395,Chojnice,Pomorskie
Audi,A5 Cabrio,179000,2024,Benzyna,Automatyczna,7750,265,1984,Wrocław,Dolnośląskie
Audi,SQ5,144900,2019,Benzyna,Automatyczna,48000,354,2995,Rzeszów,Podkarpackie
Audi,A6 Sportback e-tron,299884,2024,Elektryczny,Automatyczna,18485,367,0,Warszawa,Mazowieckie
